UV,Control
Halorubrum_Sp_AJ67.gene.004116,Halorubrum_Sp_AJ67.gene.01194
Halorubrum_Sp_AJ67.gene.004170,Halorubrum_Sp_AJ67.gene.01212
Halorubrum_Sp_AJ67.gene.004207,Halorubrum_Sp_AJ67.gene.01259
Halorubrum_Sp_AJ67.gene.0043,Halorubrum_Sp_AJ67.gene.01294
Halorubrum_Sp_AJ67.gene.00434,Halorubrum_Sp_AJ67.gene.01322
Halorubrum_Sp_AJ67.gene.00441,Halorubrum_Sp_AJ67.gene.01326
Halorubrum_Sp_AJ67.gene.00451,Halorubrum_Sp_AJ67.gene.01335
Halorubrum_Sp_AJ67.gene.00470,Halorubrum_Sp_AJ67.gene.01513
Halorubrum_Sp_AJ67.gene.0049,Halorubrum_Sp_AJ67.gene.01518
Halorubrum_Sp_AJ67.gene.00510,Halorubrum_Sp_AJ67.gene.01522
Halorubrum_Sp_AJ67.gene.005105,Halorubrum_Sp_AJ67.gene.01549
Halorubrum_Sp_AJ67.gene.005115,Halorubrum_Sp_AJ67.gene.01559
Halorubrum_Sp_AJ67.gene.005156,Halorubrum_Sp_AJ67.gene.01655
Halorubrum_Sp_AJ67.gene.005210,Halorubrum_Sp_AJ67.gene.01762
Halorubrum_Sp_AJ67.gene.005217,Halorubrum_Sp_AJ67.gene.01766
Halorubrum_Sp_AJ67.gene.00545,Halorubrum_Sp_AJ67.gene.0198
Halorubrum_Sp_AJ67.gene.00558,Halorubrum_Sp_AJ67.gene.02033
Halorubrum_Sp_AJ67.gene.00563,Halorubrum_Sp_AJ67.gene.02046
Halorubrum_Sp_AJ67.gene.0057,Halorubrum_Sp_AJ67.gene.0206
Halorubrum_Sp_AJ67.gene.006101,Halorubrum_Sp_AJ67.gene.02419
Halorubrum_Sp_AJ67.gene.006112,Halorubrum_Sp_AJ67.gene.0243
Halorubrum_Sp_AJ67.gene.006115,Halorubrum_Sp_AJ67.gene.0246
Halorubrum_Sp_AJ67.gene.006124,Halorubrum_Sp_AJ67.gene.0266
Halorubrum_Sp_AJ67.gene.006133,Halorubrum_Sp_AJ67.gene.0284
Halorubrum_Sp_AJ67.gene.006142,Halorubrum_Sp_AJ67.gene.0394
Halorubrum_Sp_AJ67.gene.00638,
Halorubrum_Sp_AJ67.gene.00650,
Halorubrum_Sp_AJ67.gene.00661,
Halorubrum_Sp_AJ67.gene.00663,
Halorubrum_Sp_AJ67.gene.00690,
Halorubrum_Sp_AJ67.gene.00696,
Halorubrum_Sp_AJ67.gene.007149,
Halorubrum_Sp_AJ67.gene.007154,
Halorubrum_Sp_AJ67.gene.00766,
Halorubrum_Sp_AJ67.gene.0078,
Halorubrum_Sp_AJ67.gene.00782,
Halorubrum_Sp_AJ67.gene.00796,
Halorubrum_Sp_AJ67.gene.0081,
Halorubrum_Sp_AJ67.gene.008117,
Halorubrum_Sp_AJ67.gene.008131,
Halorubrum_Sp_AJ67.gene.0084,
Halorubrum_Sp_AJ67.gene.00875,
Halorubrum_Sp_AJ67.gene.00910,
Halorubrum_Sp_AJ67.gene.00912,
Halorubrum_Sp_AJ67.gene.0092,
Halorubrum_Sp_AJ67.gene.00948,
Halorubrum_Sp_AJ67.gene.00950,
Halorubrum_Sp_AJ67.gene.00952,
Halorubrum_Sp_AJ67.gene.00954,
Halorubrum_Sp_AJ67.gene.00955,
Halorubrum_Sp_AJ67.gene.0097,
Halorubrum_Sp_AJ67.gene.00977,
Halorubrum_Sp_AJ67.gene.00982,
Halorubrum_Sp_AJ67.gene.00987,
Halorubrum_Sp_AJ67.gene.01026,
Halorubrum_Sp_AJ67.gene.01030,
Halorubrum_Sp_AJ67.gene.01060,
Halorubrum_Sp_AJ67.gene.01081,
Halorubrum_Sp_AJ67.gene.01090,
Halorubrum_Sp_AJ67.gene.01167,
Halorubrum_Sp_AJ67.gene.01172,
Halorubrum_Sp_AJ67.gene.01189,
Halorubrum_Sp_AJ67.gene.01192,
Halorubrum_Sp_AJ67.gene.012101,
Halorubrum_Sp_AJ67.gene.01243,
Halorubrum_Sp_AJ67.gene.01245,
Halorubrum_Sp_AJ67.gene.01252,
Halorubrum_Sp_AJ67.gene.0126,
Halorubrum_Sp_AJ67.gene.01261,
Halorubrum_Sp_AJ67.gene.01267,
Halorubrum_Sp_AJ67.gene.01277,
Halorubrum_Sp_AJ67.gene.01318,
Halorubrum_Sp_AJ67.gene.01323,
Halorubrum_Sp_AJ67.gene.01327,
Halorubrum_Sp_AJ67.gene.01356,
Halorubrum_Sp_AJ67.gene.01372,
Halorubrum_Sp_AJ67.gene.0142,
Halorubrum_Sp_AJ67.gene.0143,
Halorubrum_Sp_AJ67.gene.01449,
Halorubrum_Sp_AJ67.gene.01451,
Halorubrum_Sp_AJ67.gene.01454,
Halorubrum_Sp_AJ67.gene.01525,
Halorubrum_Sp_AJ67.gene.01541,
Halorubrum_Sp_AJ67.gene.01543,
Halorubrum_Sp_AJ67.gene.01550,
Halorubrum_Sp_AJ67.gene.01567,
Halorubrum_Sp_AJ67.gene.01569,
Halorubrum_Sp_AJ67.gene.01616,
Halorubrum_Sp_AJ67.gene.01628,
Halorubrum_Sp_AJ67.gene.01630,
Halorubrum_Sp_AJ67.gene.0165,
Halorubrum_Sp_AJ67.gene.01662,
Halorubrum_Sp_AJ67.gene.01666,
Halorubrum_Sp_AJ67.gene.01667,
Halorubrum_Sp_AJ67.gene.01823,
Halorubrum_Sp_AJ67.gene.01853,
Halorubrum_Sp_AJ67.gene.01858,
Halorubrum_Sp_AJ67.gene.01950,
Halorubrum_Sp_AJ67.gene.01951,
Halorubrum_Sp_AJ67.gene.01969,
Halorubrum_Sp_AJ67.gene.01970,
Halorubrum_Sp_AJ67.gene.02026,
Halorubrum_Sp_AJ67.gene.02038,
Halorubrum_Sp_AJ67.gene.02042,
Halorubrum_Sp_AJ67.gene.02043,
Halorubrum_Sp_AJ67.gene.02113,
Halorubrum_Sp_AJ67.gene.0212,
Halorubrum_Sp_AJ67.gene.02121,
Halorubrum_Sp_AJ67.gene.02129,
Halorubrum_Sp_AJ67.gene.0217,
Halorubrum_Sp_AJ67.gene.02217,
Halorubrum_Sp_AJ67.gene.02228,
Halorubrum_Sp_AJ67.gene.0224,
Halorubrum_Sp_AJ67.gene.0225,
Halorubrum_Sp_AJ67.gene.0235,
Halorubrum_Sp_AJ67.gene.0241,
Halorubrum_Sp_AJ67.gene.0242,
Halorubrum_Sp_AJ67.gene.0244,
Halorubrum_Sp_AJ67.gene.0275,
Halorubrum_Sp_AJ67.gene.0286,
Halorubrum_Sp_AJ67.gene.0325,
Halorubrum_Sp_AJ67.gene.0334,
Halorubrum_Sp_AJ67.gene.0362,
Halorubrum_Sp_AJ67.gene.0381,
Halorubrum_Sp_AJ67.gene.0471,
Halorubrum_Sp_AJ67.gene.0481,
Halorubrum_Sp_AJ67.gene.0491,
Halorubrum_Sp_AJ67.gene.00679,
Halorubrum_Sp_AJ67.gene.00678,
Halorubrum_Sp_AJ67.gene.02034,
Halorubrum_Sp_AJ67.gene.00918,
Halorubrum_Sp_AJ67.gene.0432,
Halorubrum_Sp_AJ67.gene.01257,
Halorubrum_Sp_AJ67.gene.01810,
Halorubrum_Sp_AJ67.gene.02044,
Halorubrum_Sp_AJ67.gene.0331,
